Created At,Tweet Id,Tweet,Length,Prediction
2020-10-02 23:59:15,1312180375267885057,RT @Raulpinaavila4: Get to know your ballot measures before the #2020election. I’m volunteering for #Prop21 which will allow cities to expa…,140,Biden
2020-10-02 23:58:39,1312180225854251008,RT @Tairlisis: Who do you think will win the #2020Election 🇺🇸,61,Trump
2020-10-02 23:58:10,1312180102705283073,RT @ScottGilesMusic: #2020Election #AmericaOrTrump #BidenHarrisToSaveAmerica #BlueWave2020 #Arizona #TrumpIsALoser https://t.co/AYCgZTJmq3,138,Biden
2020-10-02 23:57:38,1312179967866806272,#SanDiego @sdut endorses @JoeBiden for President #VOTE #2020Election https://t.co/komFd6s6Iq,92,Biden
2020-10-02 23:57:28,1312179926053732373,RT @qweekat: To ensure a postmark add a stamp to your postage paid ballot &amp; force USPS to handle it as first class instead of bulk. Pass th…,144,Biden
2020-10-02 23:56:34,1312179700731572224,So is Trump faking having #COVID19 in order to manipulate the #2020Election campaign or has be got the virus?,109,Biden
2020-10-02 23:55:33,1312179444673511424,Get to know your ballot measures before the #2020election. I’m volunteering for #Prop21 which will allow cities to… https://t.co/u6YzulRE0A,139,Biden
2020-10-02 23:55:28,1312179423144148992,RT @Gscene: #CyndiLauper reunites with #GRAMMY-winning producer Tracy Young for '#Hopeful' remix. #LGBTQ #USElection #DontGiveUp #LGBT #ico…,140,Biden
2020-10-02 23:55:02,1312179316516548608,Q: Can I be a challenger or poll watcher for the 2020 Election? See the answer to this and other #2020Election freq… https://t.co/alMey2UOWH,140,Trump
2020-10-02 23:54:46,1312179249017544707,Another friendly reminder: TO VOTE #2020Election,48,Biden
2020-10-02 23:53:21,1312178892434632704,Trump's positive COVID test throws markets a pre-election curveball #2020Election #StockMarket #TrumpCovid19 -… https://t.co/DnYLgNzp9Z,135,Biden
2020-10-02 23:53:03,1312178815351676928,"INN spoke with Byron King of @AgoraFinancial, @duediligenceguy of Independent Speculator, @QuillIntel Chief Strateg… https://t.co/KsOL5ZhdM4",140,Trump
2020-10-02 23:52:53,1312178773647745024,"NAJEE’S NOTES: Abdullah’s endorsement raises a few eyebrows- https://t.co/2P5RFZcEEU

#najeeali #abdullah… https://t.co/ExuON58GXs",130,Biden
2020-10-02 23:51:54,1312178525512765440,@chrislhayes misplaced priority - political expediency over collective goodness. Get well soon #POTUS &amp; #FLOTUS We… https://t.co/nKzfGXOxq6,143,Trump
2020-10-02 23:50:53,1312178271862231040,"@BrianHuffling How Should #Christians #Vote?
Seek the #GospelTruth
https://t.co/SXR02Mqv90
#2020Election #Vote2020… https://t.co/VDfwmeAspQ",139,Biden
2020-10-02 23:48:44,1312177730088169473,When #JoeBiden heard the news he visited #donaldtrump at the hospital- luckily the cameras were rolling.… https://t.co/lFxGkFRkw8,129,Trump
2020-10-02 23:48:43,1312177725591834624,Oh to be a fly on that wall. #2020Election,42,Biden
2020-10-02 23:48:13,1312177598525366272,Got my ballot in the mail today. #earlyvoting #2020election #ivoted🇺🇸 https://t.co/mBoES7BAvn,93,Biden
2020-10-02 23:44:10,1312176579020165120,Might be because of the masks #2020Election https://t.co/gPDtBQDRI8,67,Trump
2020-10-02 23:43:37,1312176443527290881,RT @2020_polling: If the 2020 election were held today who would be your choice for president? #2020poll #2020Election #PresidentialElectio…,140,Biden
2020-10-02 23:43:33,1312176423348518913,"RT @IngrahamAngle: When you see the democrats prattle on about how bad Trump is, what a threat he is. Know this... Trump is a threat - to t…",140,Trump
2020-10-02 23:42:37,1312176191592251394,RT @acluohio: 📣HEY-this is a pretty cool!!😏Next Thurs. at 7pm we're hosting a virtual event with @ikebarinholtz @kumailn &amp; #AbbiJacobson🥳Jo…,144,Trump
2020-10-02 23:42:00,1312176036373651458,The worst thing about being #expat voter? #humor #2020election https://t.co/xXIUXPDuJp via @barbtaub,100,Biden
2020-10-02 23:41:52,1312176003687407617,RT @Jose16636170: Get to know your ballot measures before the #2020election. I’m volunteering for #Prop21 which will allow cities to expand…,140,Biden
2020-10-02 23:41:31,1312175914390675456,Baba Vanga..Nostradamus..The Simpsons....yes I like conspiracy theories!! So sue me!!! Coincidence!!! #2020Election… https://t.co/oY2wNwatQH,140,Biden
