Created At,Tweet Id,Tweet,Length,Prediction
2020-08-02 23:58:11,1290074449643859969,#MailInVotingFraud #VoterFraud #VoteByMail #2020Election https://t.co/yIE6TslNzy,80,Biden
2020-08-02 23:56:28,1290074015424376832,#TrumpHasNoPlan #2020Election #VoteBlueToSaveAmerica #DumpTrump #JoeBiden https://t.co/p82GzpZSGM,97,Biden
2020-08-02 23:56:05,1290073921539121152,"RT @ginachristo: I am SO proud of @wilnelia_rivera for laying it down on @MSNBC tonight. 👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼

Her point is clear - it’…",140,Biden
2020-08-02 23:55:44,1290073830732394498,RT @RadajJoei: #Biden #JoeBiden #JoeBiden2020 #joebidenpedo #pedogate2020 #pedophelia #2020Election https://t.co/7K69SRibNL,123,Biden
2020-08-02 23:55:13,1290073702248267776,"RT @NicholsUprising: Vice President Pence says the #2020Election offers voters a choice between Trump’s economy and socialism.

At a point…",139,Biden
2020-08-02 23:55:07,1290073677174730753,"What if there is no grand Master plan &amp; the fate of our nation &amp; #constitution is in the hands of #WeThePeople?

Wa… https://t.co/sLqkCsfbSb",148,Biden
2020-08-02 23:55:00,1290073647231582208,"RT @Varneyco: STU: ""Are you ready for the extraordinary turmoil that a Joe #Biden win would bring on?"" #Democrats #2020Election #VarneyCo h…",140,Biden
2020-08-02 23:52:03,1290072904097357824,Moms https://t.co/5gxEiFcaqx via @YouTube #MAGA #GOP #realDonaldTrump #Trump #AllLivesMatters #BlackLivesMatter… https://t.co/bVz2H0ez3I,136,Trump
2020-08-02 23:51:44,1290072822832705537,Trump fears this election because he knows that democrats and some Republicans won't let him be elected again and s… https://t.co/Z2EkHa2v3P,140,Biden
2020-08-02 23:48:25,1290071989932056576,"https://t.co/aPdETh8eyM
#AHRC #AHRCUSA  #August4 #2020election #Michigan",72,Biden
2020-08-02 23:48:06,1290071910575820800,"RT @OliveTreeMin: More Frightening Than #COVID19: Stolen #2020Election Through Mail In Votes  #VoterIDNow #American 
https://t.co/W96x9Ujhk…",140,Biden
2020-08-02 23:47:48,1290071837058068480,"Biden HATES His #Voters: https://t.co/aHFwIgb9Lv via @United Patriot News 
#Biden #JoeBiden #Tcot #Ccot #Teaparty… https://t.co/Tp89fVHViA",138,Trump
2020-08-02 23:47:34,1290071774776852482,"Nero danced while Rome burned.🔥Donald golfs while America dies. ☠️

Empires fall a lot faster than they’re built.… https://t.co/DvMhcLYMsQ",138,Biden
2020-08-02 23:45:38,1290071290728943617,"RT @SCVIndy: @lunaticopresid1 We have to @TheDemocrats of all ages to vote !

#SundayThoughts #2020Election #FAM46 https://t.co/RDMWrjLKyt",138,Biden
2020-08-02 23:44:38,1290071037883817984,RT @pwrfulwomantoo: @KarenBassTweets Take ur condescending remarks &amp; ask urself why Biden &amp; Ovomit didnt stockpile N95 masks when they depl…,148,Biden
2020-08-02 23:44:21,1290070966765142016,RT @OCDrises: Yeah. Because @realDonaldTrump will make @JoeBiden look like the laughing stock that he is. It’s just pathetic at this point.…,140,Trump
2020-08-02 23:44:04,1290070895403253760,"RT @Varneyco: ""If you can stand in line, Stuart, six feet apart with a mask on at the grocery store, Target, Home Depot, why can't you do i…",140,Trump
2020-08-02 23:42:42,1290070553374494721,"WHEN YOU RECEIVE YOUR BALLOT, COMPLETE ASAP &amp; DROP IN DROP BOX @ELECTION'S OFFICE! 
TRUMP'S GOT RNC GUY AA US POSTM… https://t.co/cxqsdBPbhs",144,Biden
2020-08-02 23:39:56,1290069857300447237,#Election2020 #vote2020 #2020Election #POTUS #politics #MAGA #Trump #voteblue #biden2020 @realDonaldTrump https://t.co/xva6h1r6cr,129,Biden
2020-08-02 23:38:08,1290069400746446848,#2020Election https://t.co/USMUvVM9uM,37,Biden
2020-08-02 23:38:01,1290069372740894722,"We all know that means they'll be attempting to do both.
#2020election  #JoeBiden2020
https://t.co/5vtMXJ0DVQ",109,Biden
2020-08-02 23:37:14,1290069175960915968,"My #VoteByMail experience. 

A thread. 

#VoterRights #Vote2020 #VoterFraud #2020Election #Election2020 #vote #MailInBallots",124,Biden
2020-08-02 23:36:20,1290068950512889857,@EssexKIRO7 @RobMunoz88 @kcelections There had never been an issue until Trump. What they are actually saying is: T… https://t.co/Z6nY6uNa2c,140,Trump
2020-08-02 23:35:56,1290068847978934272,RT @TrentStevensyn: Which party will you be voting for in 2020? #2020Election #election,87,Biden
2020-08-02 23:35:00,1290068613848686592,"#TrumpHasNoPlan #Trump #2020ElectionCanceled #2020Election 
https://t.co/TUF8236tdE",83,Biden
2020-08-02 23:34:04,1290068378896306176,😂😂😂😂😂😂😂😂 #Trump2020Landslide #hidenbiden #2020Election  #Trump #BillClintonIsAPedo https://t.co/DCKlQUHlJz,106,Trump
2020-08-02 23:29:57,1290067343083573248,RT @Durham4Riley_6: Got questions about voting? No worries! I got you. Fill out this survey and I'll get back to you before the election wi…,140,Trump
2020-08-02 23:29:42,1290067281066602501,"@realDonaldTrump Yes, looking to vote you out of office. That should go a long way toward that goal. #WeWillVote #2020Election",126,Trump
2020-08-02 23:29:13,1290067159142395905,"You know who votes in droves?   American Moms!  🇺🇸
#2020Election #MomsWillVote https://t.co/z7ichTnDI7",102,Biden
2020-08-02 23:26:32,1290066484866060288,me and many others are willing to take that chance if it means getting a man out of office who has. Put this countr… https://t.co/UvZ2rvBdq4,140,Biden
2020-08-02 23:25:48,1290066297506545665,"RT @ImABasith: தங்கச்சுரங்கத்துக்கான போராட்டம் இது..

#ElectionDay 
#2020Election 
#LKAElections2020 
#lka 
#Parliament 
#Vote",126,Biden
2020-08-02 23:23:43,1290065776271998976,#Biden #2020Election #dnc #aoc #nancypelosi #cnn #msnbc #wapo #NYT https://t.co/oc1xymQr5d,90,Trump
